"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Melendez, MJ","669004","NA","2",,"119","0","0","0","0","75","0","44","0","119","95.5",,,,,"93.5",,,,"93.2","93.2"
"Ruf, Darin","573131","NA","3","First Baseman","199","144","0","0","0","39","0","16","0","55","87.9","68.6",,,,,,,,"80.9","80.9"
"Meneses, Joey","608841","NA","3","First Baseman","220","159","0","0","0","3","0","58","0","61","91","77.7",,,,,,"85.6",,"85.2","85.2"
"Cordero, Franchy","614173","NA","3","First Baseman","283","215","0","0","0","28","4","36","0","68","91.7","75.3",,,,,,,,"85","85"
"Dozier, Hunter","641531","NA","3","First Baseman","384","206","0","68","0","22","0","88","68","110","88.7","78.3",,,,,,"85.6",,"85.6","85.6"
"Brown, Seth","664913","NA","3","First Baseman","516","284","0","0","0","82","55","95","0","232","89","75.5",,,,"83.9","83.3","81.8",,"83.2","83.2"
"García, Leury","544725","NA","4","Second Baseman","339","0","194","12","79","13","12","29","285","54","90.9",,"81.1",,"81.4",,,,"82.6","86.7","86.7"
"Merrifield, Whit","593160","NA","4","Second Baseman","502","1","344","0","0","9","57","91","344","157","88.7",,"78",,,,"81.9","85","78","84","84"
"Frazier, Adam","624428","NA","4","Second Baseman","565","0","472","0","14","38","2","39","486","79","89.7",,"78.8",,,,,,"78.7","86.5","86.5"
"Kemp, Tony","643393","NA","4","Second Baseman","529","0","330","0","0","199","0","0","330","199","88.2",,"76.6",,,"82.2",,,"76.6","82.2","82.2"
